record ID,latitude,longitude,date,case_numbe,cluster label,subzone ID
128,1.441139,103.792607,200221,3,7,280
129,1.442618,103.793396,200221,1,7,280
130,1.371595,103.834254,200221,3,8,214
131,1.3725353,103.831873,200221,9,8,225
132,1.3731142,103.8307357,200221,1,8,225
133,1.3716809,103.8301916,200221,1,8,225
134,1.372464,103.831078,200221,2,8,225
135,1.3738826,103.8315829,200221,2,8,225
136,1.3732959,103.8327755,200221,20,8,225
137,1.387868,103.907752,200221,2,9,292
138,1.388622,103.90671,200221,1,9,292
139,1.384302,103.902851,200221,1,9,292
140,1.38627,103.90408,200221,2,9,292
141,1.385129,103.904015,200221,1,9,292
142,1.386879,103.904676,200221,2,9,292
143,1.386973,103.904683,200221,1,9,292
144,1.387127,103.905728,200221,4,9,292
145,1.387924,103.904814,200221,1,9,292
146,1.388946,103.904311,200221,1,9,292
147,1.386355,103.905472,200221,4,9,292
148,1.386595,103.906066,200221,8,9,292
149,1.386988,103.906539,200221,7,9,292
150,1.387616,103.906267,200221,1,9,292
151,1.3073888,103.905797,200221,2,10,93
152,1.3098857,103.9069273,200221,6,10,93
153,1.3095208,103.9061058,200221,1,10,93
154,1.309504,103.905048,200221,4,10,93
155,1.309134,103.905015,200221,1,10,93
156,1.309934,103.9020481,200221,1,10,135
157,1.3088059,103.9069976,200221,9,10,93
158,1.308765,103.906107,200221,1,10,93
159,1.3083689,103.9077763,200221,1,10,93
160,1.312665,103.90693,200221,1,10,93
161,1.3105306,103.902828,200221,1,10,135
162,1.308661,103.905265,200221,3,10,93
163,1.37064,103.853431,200221,2,11,212
164,1.3706862,103.8524706,200221,4,11,212
165,1.370249,103.852478,200221,1,11,212
166,1.373138,103.851947,200221,1,11,212
167,1.371312,103.853596,200221,1,11,212
168,1.371181,103.852859,200221,6,11,212
169,1.371099,103.85219,200221,7,11,212
170,1.3720001,103.8529979,200221,1,11,212
171,1.3718689,103.8535776,200221,1,11,212
172,1.372548,103.850941,200221,1,11,212
173,1.3718971,103.850947,200221,1,11,212
174,1.381716,103.8952879,200221,1,12,247
175,1.381657,103.890531,200221,1,12,247
176,1.381947,103.891449,200221,1,12,247
177,1.381194,103.892133,200221,1,12,247
178,1.380793,103.894095,200221,10,12,247
179,1.383235,103.894541,200221,2,12,247
180,1.381886,103.894502,200221,3,12,247
181,1.382338,103.894509,200221,1,12,247
182,1.382428,103.894028,200221,1,12,247
183,1.381849,103.893933,200221,3,12,247
184,1.401919,103.905883,200221,1,12,318
185,1.378572,103.766128,200221,4,13,226
186,1.3794404,103.7667267,200221,7,13,226
187,1.379847,103.766734,200221,3,13,226
188,1.3802841,103.7663537,200221,1,13,226
189,1.379926,103.765968,200221,1,13,226
190,1.3792943,103.7659488,200221,3,13,226
191,1.379801,103.765074,200221,2,13,226
192,1.379079,103.764799,200221,1,13,226
193,1.3609447,103.8726558,200221,1,14,206
194,1.363201,103.8720506,200221,10,14,206
195,1.3644658,103.870981,200221,6,14,206
196,1.3637427,103.8670456,200221,2,14,206
197,1.365624,103.8717056,200221,2,14,206
198,1.3065778,103.8373806,200221,1,15,68
199,1.303984,103.839566,200221,10,15,68
200,1.303097,103.838708,200221,1,15,68
201,1.303713,103.838432,200221,2,15,68
202,1.304114,103.838723,200221,4,15,68
203,1.3736341,103.8875986,200221,3,16,228
204,1.3734902,103.8880178,200221,6,16,228
205,1.3732156,103.8875301,200221,2,16,228
206,1.3728322,103.8875854,200221,1,16,228
207,1.3725038,103.8873743,200221,1,16,228
208,1.371706,103.8878432,200221,3,16,228
209,1.372374,103.8881694,200221,1,16,228
210,1.3512663,103.6984716,200221,5,17,160
211,1.3528057,103.7000291,200221,1,17,160
212,1.3540791,103.6979389,200221,10,17,160
213,1.3518638,103.6983333,200221,1,17,160
214,1.366618,103.845133,200221,1,18,202
215,1.3663724,103.8450297,200221,1,18,202
216,1.366139,103.846034,200221,1,18,202
217,1.365839,103.844736,200221,1,18,202
218,1.3660941,103.8372456,200221,1,18,205
219,1.3674275,103.8459107,200221,1,18,202
220,1.368396,103.847754,200221,2,18,202
221,1.3683421,103.8468411,200221,3,18,202
222,1.3679096,103.8468444,200221,1,18,202
223,1.367065,103.846874,200221,2,18,202
224,1.36667,103.846867,200221,1,18,202
225,1.392514,103.89767,200221,1,19,314
226,1.392652,103.896942,200221,1,19,314
227,1.394033,103.896862,200221,1,19,314
228,1.395649,103.89498,200221,1,19,314
229,1.393125,103.895591,200221,1,19,314
230,1.393627,103.895266,200221,6,19,314
231,1.394211,103.895484,200221,3,19,314
232,1.394152,103.895983,200221,1,19,314
233,1.35642,103.873213,200221,1,20,206
234,1.3578619,103.873303,200221,1,20,206
235,1.35799,103.872016,200221,1,20,206
236,1.358376,103.872054,200221,1,20,206
237,1.358713,103.872093,200221,2,20,206
238,1.3592089,103.871776,200221,1,20,206
239,1.357604,103.870322,200221,2,20,206
240,1.3578486,103.8712008,200221,2,20,206
241,1.357249,103.870668,200221,3,20,206
242,1.356886,103.870712,200221,1,20,206
243,1.3578222,103.7472428,200221,1,21,168
244,1.362171,103.746321,200221,2,21,201
245,1.362443,103.744968,200221,4,21,201
246,1.362193,103.745788,200221,2,21,201
247,1.362164,103.745173,200221,1,21,201
248,1.362049,103.744442,200221,2,21,201
249,1.362918,103.746339,200221,1,21,201
250,1.362635,103.74732,200221,1,21,201
251,1.37053,103.753349,200221,4,22,219
252,1.371101,103.752434,200221,4,22,219
253,1.37049,103.752307,200221,1,22,219
254,1.371666,103.752682,200221,5,22,219
255,1.378354,103.8865745,200221,1,23,235
256,1.3734199,103.8864604,200221,1,23,228
257,1.375409,103.888364,200221,1,23,228
258,1.3757219,103.888738,200221,1,23,228
259,1.376161,103.889245,200221,1,23,228
260,1.3767217,103.8864894,200221,1,23,228
261,1.375196,103.886912,200221,1,23,228
262,1.375223,103.88751,200221,1,23,228
263,1.3750497,103.887825,200221,3,23,228
264,1.31127,103.8857029,200221,1,24,117
265,1.313615,103.884772,200221,2,24,117
266,1.312971,103.885148,200221,2,24,117
267,1.311471,103.885631,200221,1,24,117
268,1.311882,103.885447,200221,1,24,117
269,1.311959,103.886024,200221,3,24,117
270,1.3592261,103.8914645,200221,3,25,252
271,1.3596597,103.8917267,200221,3,25,252
272,1.3602211,103.8925821,200221,1,25,252
273,1.358423,103.891648,200221,1,25,252
274,1.343132,103.6956435,200221,2,26,160
275,1.34268,103.697004,200221,2,26,160
276,1.3432697,103.6967061,200221,1,26,160
277,1.344125,103.696248,200221,1,26,160
278,1.3434803,103.6975156,200221,1,26,160
279,1.3438157,103.6943096,200221,1,26,160
280,1.367283,103.8819369,200221,2,27,203
281,1.367397,103.883957,200221,6,27,203
282,1.288686,103.839728,200221,1,28,12
283,1.287436,103.839412,200221,1,28,12
284,1.287012,103.839029,200221,1,28,12
285,1.287368,103.837796,200221,3,28,12
286,1.286966,103.838092,200221,1,28,12
287,1.389168,103.90595,200221,3,29,292
288,1.389743,103.906203,200221,2,29,292
289,1.390393,103.906253,200221,2,29,292
290,1.3138789,103.7569775,200221,3,30,113
291,1.3147474,103.7571714,200221,4,30,113
292,1.367993,103.851481,200221,1,31,204
293,1.368377,103.850758,200221,3,31,204
294,1.3691141,103.8533152,200221,1,31,204
295,1.3679476,103.8533165,200221,1,31,204
296,1.3095036,103.8977451,200221,1,32,93
297,1.3070263,103.9002295,200221,1,32,93
298,1.27755,103.730772,200221,4,32,35
299,1.372136,103.764065,200221,4,33,226
300,1.3577633,103.7680114,200221,2,33,196
301,1.35984,103.76462,200221,4,34,197
302,1.35846,103.765887,200221,2,34,197
303,1.326837,103.91025,200221,4,35,92
304,1.328221,103.91293,200221,1,35,92
305,1.327522,103.911584,200221,1,35,92
306,1.353886,103.72138,200221,1,36,162
307,1.354331,103.721377,200221,2,36,162
308,1.3544115,103.7226397,200221,1,36,162
309,1.354879,103.721523,200221,2,36,162
310,1.288728,103.813141,200221,1,37,16
311,1.2876445,103.8135029,200221,1,37,16
312,1.28852,103.814188,200221,2,37,16
313,1.289683,103.815141,200221,1,37,16
314,1.288535,103.815898,200221,1,37,15
315,1.307477,103.917956,200221,2,38,121
316,1.307968,103.915262,200221,1,38,121
317,1.308322,103.914402,200221,2,38,121
318,1.307494,103.913872,200221,1,38,121
319,1.312593,103.760836,200221,1,39,105
320,1.314993,103.758629,200221,3,39,113
321,1.3130502,103.7593028,200221,2,39,113
322,1.3658985,103.858824,200221,1,40,204
323,1.366622,103.859583,200221,1,40,204
324,1.36642,103.859066,200221,1,40,204
325,1.367593,103.857261,200221,1,40,204
326,1.366291,103.857016,200221,1,40,204
327,1.346646,103.735046,200221,5,41,159
328,1.3239571,103.8533912,200221,2,42,181
329,1.3239158,103.8538392,200221,1,42,181
330,1.323175,103.855885,200221,1,42,181
331,1.32371,103.855017,200221,1,42,181
332,1.389638,103.834366,200221,5,43,251
333,1.4373435,103.7901826,200221,1,44,280
334,1.4368351,103.7904545,200221,2,44,280
335,1.4360495,103.7903124,200221,1,44,280
336,1.436033,103.79124,200221,1,44,280
337,1.3708109,103.8436139,200221,1,45,214
338,1.3704809,103.8447949,200221,2,45,214
339,1.3715063,103.8448389,200221,1,45,214
340,1.3304501,103.9096783,200221,1,46,143
341,1.33058,103.909717,200221,1,46,143
342,1.3323731,103.9102772,200221,1,46,143
343,1.333527,103.91237,200221,1,46,143
344,1.3319589,103.9166817,200221,1,47,143
345,1.333477,103.917668,200221,1,47,143
346,1.334035,103.918253,200221,1,47,143
347,1.334605,103.916891,200221,1,47,143
348,1.320385,103.945072,200221,3,48,141
349,1.3203069,103.946095,200221,1,48,141
350,1.374059,103.768879,200221,1,49,226
351,1.37728,103.770458,200221,1,49,226
352,1.376124,103.769588,200221,1,49,226
353,1.375474,103.768945,200221,1,49,226
354,1.387966,103.867563,200221,2,50,246
355,1.38425,103.868244,200221,2,50,246
356,1.385675,103.772058,200221,1,51,256
357,1.387102,103.771095,200221,3,51,256
358,1.378255,103.891688,200221,2,52,228
359,1.378481,103.890737,200221,1,52,228
360,1.3799539,103.890429,200221,1,52,228
361,1.3624724,103.8884415,200221,1,53,252
362,1.361578,103.889828,200221,1,53,252
363,1.3617614,103.8876739,200221,2,53,252
364,1.335784,103.697553,200221,1,54,146
365,1.335224,103.699386,200221,3,54,146
366,1.3122157,103.8833463,200221,2,55,117
367,1.312182,103.883548,200221,1,55,117
368,1.313431,103.883767,200221,1,55,117
369,1.383036,103.866081,200221,2,56,246
370,1.381913,103.866298,200221,2,56,246
371,1.443866,103.818729,200221,4,57,286
372,1.355052,103.869881,200221,1,58,165
373,1.35509,103.8708335,200221,1,58,165
374,1.354133,103.872449,200221,2,58,165
375,1.427065,103.832583,200221,1,59,274
376,1.4266468,103.8331547,200221,2,59,274
377,1.425896,103.832517,200221,1,59,274
378,1.367448,103.837981,200221,1,60,205
379,1.368881,103.837886,200221,1,60,205
380,1.368245,103.837239,200221,1,60,205
381,1.332227,103.94037,200221,1,61,173
382,1.3325595,103.9403208,200221,1,61,173
383,1.332463,103.94226,200221,1,61,173
384,1.347012,103.849929,200221,1,62,166
385,1.3468039,103.850573,200221,1,62,166
386,1.347187,103.851567,200221,1,62,166
387,1.3487997,103.8543468,200221,2,63,166
388,1.34902,103.856299,200221,1,63,166
389,1.348099,103.843479,200221,1,64,194
390,1.349046,103.843092,200221,2,64,194
391,1.2764087,103.8364453,200221,1,65,21
392,1.273759,103.836426,200221,1,65,21
393,1.275514,103.837432,200221,1,65,21
394,1.350315,103.743879,200221,1,66,154
395,1.349969,103.744214,200221,1,66,154
396,1.349294,103.744355,200221,1,66,154
397,1.3183019,103.9085734,200221,1,67,92
398,1.3243633,103.9054879,200221,1,67,135
399,1.318497,103.906305,200221,1,67,92
400,1.374559,103.738117,200221,2,68,232
401,1.374621,103.739372,200221,1,68,232
402,1.392116,103.744215,200221,1,69,291
